Playoffs,Week,Game,Team,Start,Player,Projection,Points
0,1,1,Ken'nNat,1,QB,20,7
0,1,1,Ken'nNat,1,WR,12,13
0,1,1,Ken'nNat,1,WR,12,8
0,1,1,Ken'nNat,1,WR,8,21
0,1,1,Ken'nNat,1,RB,10,8
0,1,1,Ken'nNat,1,RB,8,5
0,1,1,Ken'nNat,1,TE,9,3
0,1,1,Ken'nNat,1,K,11,12
0,1,1,Ken'nNat,1,DEF,8,9
0,1,1,Ken'nNat,0,RB,8,22
0,1,1,Ken'nNat,0,WR,9,5
0,1,1,Ken'nNat,0,TE,6,20
0,1,1,Ken'nNat,0,RB,6,8
0,1,1,Ken'nNat,0,QB,13,1
0,1,1,Ken'nNat,0,WR,7,2
0,1,1,Soccer Team,1,QB,20,20
0,1,1,Soccer Team,1,WR,9,1
0,1,1,Soccer Team,1,WR,9,8
0,1,1,Soccer Team,1,WR,8,8
0,1,1,Soccer Team,1,RB,15,5
0,1,1,Soccer Team,1,RB,9,9
0,1,1,Soccer Team,1,TE,11,3
0,1,1,Soccer Team,1,K,12,8
0,1,1,Soccer Team,1,DEF,8,1
0,1,1,Soccer Team,0,QB,18,20
0,1,1,Soccer Team,0,RB,7,14
0,1,1,Soccer Team,0,WR,7,8
0,1,1,Soccer Team,0,WR,7,0
0,1,1,Soccer Team,0,TE,6,11
0,1,1,Soccer Team,0,RB,6,6
0,1,2,Die Ubermanner,1,QB,24,9
0,1,2,Die Ubermanner,1,WR,11,21
0,1,2,Die Ubermanner,1,WR,8,5
0,1,2,Die Ubermanner,1,WR,8,17
0,1,2,Die Ubermanner,1,RB,12,5
0,1,2,Die Ubermanner,1,RB,9,20
0,1,2,Die Ubermanner,1,TE,8,1
0,1,2,Die Ubermanner,1,K,8,11
0,1,2,Die Ubermanner,1,DEF,8,6
0,1,2,Die Ubermanner,0,WR,NA,NA
0,1,2,Die Ubermanner,0,WR,8,1
0,1,2,Die Ubermanner,0,RB,8,3
0,1,2,Die Ubermanner,0,RB,6,2
0,1,2,Die Ubermanner,0,QB,0,0
0,1,2,Die Ubermanner,0,RB,6,3
0,1,2,SteaGles,1,QB,23,21
0,1,2,SteaGles,1,WR,12,4
0,1,2,SteaGles,1,WR,8,5
0,1,2,SteaGles,1,WR,6,4
0,1,2,SteaGles,1,RB,9,14
0,1,2,SteaGles,1,RB,7,8
0,1,2,SteaGles,1,TE,9,4
0,1,2,SteaGles,1,K,8,14
0,1,2,SteaGles,1,DEF,10,12
0,1,2,SteaGles,0,WR,0,0
0,1,2,SteaGles,0,RB,6,1
0,1,2,SteaGles,0,RB,6,5
0,1,2,SteaGles,0,WR,8,1
0,1,2,SteaGles,0,WR,8,12
0,1,2,SteaGles,0,DEF,9,3
0,1,3,Demo Demolishers,1,QB,24,21
0,1,3,Demo Demolishers,1,WR,15,6
0,1,3,Demo Demolishers,1,WR,9,5
0,1,3,Demo Demolishers,1,WR,9,9
0,1,3,Demo Demolishers,1,RB,10,15
0,1,3,Demo Demolishers,1,RB,7,4
0,1,3,Demo Demolishers,1,TE,7,0
0,1,3,Demo Demolishers,1,K,10,9
0,1,3,Demo Demolishers,1,DEF,12,0
0,1,3,Demo Demolishers,0,RB,5,3
0,1,3,Demo Demolishers,0,WR,0,0
0,1,3,Demo Demolishers,0,QB,20,5
0,1,3,Demo Demolishers,0,WR,6,11
0,1,3,Demo Demolishers,0,TE,4,4
0,1,3,Demo Demolishers,0,DEF,8,32
0,1,3,Justin's Team,1,QB,21,35
0,1,3,Justin's Team,1,WR,11,6
