Number,President,Party,Overall,Rank,PublicPersuasion,PublicPersuasion_Rank,CrisisLeadership,CrisisLeadership_Rank,EconomicManagement,EconomicManagement_Rank,MoralAuthority,MoralAuthority_Rank,InternationalRelations,InternationalRelations_Rank,AdministrativeSkills,AdministrativeSkills_Rank,RelationsWithCongress,RelationsWithCongress_Rank,VisionAgenda,VisionAgenda_Rank,PursuedEqualJustice,PursuedEqualJustice_Rank,PerformanceAtTime,PerformanceAtTime_Rank
1,Washington,Unaffiliated,868,2,91.4,4,94.1,2,84.1,1,97.6,1,87.6,2,84.7,2,82.8,2,93.2,2,54.4,13,97.7,1
2,"Adams, J.",Federalist,604,19,50.7,22,62.8,17,62.5,15,70.7,11,70.2,13,59.9,21,52,24,57.8,20,52.6,15,64.6,19
3,Jefferson,Democratic-Republican,727,7,82.1,8,72.4,13,63.3,13,78.5,6,71.5,11,71.8,7,74,5,87.2,5,47.8,17,78.6,6
4,Madison,Democratic-Republican,610,17,62.3,18,60.4,19,57.9,19,72.9,9,56.9,22,62.7,17,60.1,13,63.4,18,47.2,18,66.4,16
5,Monroe,Democratic-Republican,646,13,64.5,17,66.1,14,58,18,66.2,16,79.5,7,66.4,11,66.2,9,65.6,14,43.5,25,69.9,11
6,"Adams, J. Q.",Democratic-Republican,590,21,42.7,33,54.1,23,58.6,17,70.1,12,68.5,15,61.4,18,44.3,32,65.5,15,66.9,9,57.6,22
7,Jackson,Democratic,609,18,82.2,7,73.5,10,47.6,26,59.3,20,58,20,56.5,23,53.7,21,79,10,31.2,38,68.1,13
8,Van Buren,Democratic,450,34,46,30,41.1,35,37.1,40,46.8,33,51,26,55.1,26,47.9,28,41.8,33,38.9,30,44.5,33
9,"Harrison, W. H.",Whig,383,38,47.6,28,32.7,38,37.8,38,46.9,31,34.3,42,34.5,40,40.5,38,40.4,36,31.4,37,37.1,38
10,Tyler,Whig,372,39,36.8,39,40.1,36,37.7,39,34.7,37,50.9,28,40.6,38,31,41,37.5,37,24.1,41,38.9,36
11,Polk,Democratic,637,14,68.8,13,73.8,9,63.2,14,53.2,27,67.5,16,69,9,64.6,11,76.6,11,32.1,36,68.6,12
12,Taylor,Whig,458,31,48.5,27,47.6,28,46.1,28,51,28,49.7,30,45.2,35,43.3,35,44.1,30,36.3,34,46.5,30
13,Fillmore,Whig,394,37,36.3,40,42.4,34,40.8,34,35.8,36,48.2,34,42.9,36,43.1,36,37.1,39,28.6,39,38.4,37
14,Pierce,Democratic,315,41,32.3,41,26.9,41,36.6,41,29.6,39,37.5,40,36.7,39,36.6,40,27.5,41,22.6,42,28.8,41
